FFID	Line	Point	Gps-time(us)-UTC Date	UTC-Time	Time-Source	Latitude	Longitude	Comment
152	4.0	2.0	1347333721465161	2022-09-16	03:21:43.465161	GPS	234337.272	1143857.660	
153	4.0	3.0	1347333737204006	2022-09-16	03:21:59.204006	GPS	234337.308	1143857.660	
154	4.0	4.0	1347333748145689	2022-09-16	03:22:10.145689	GPS	234337.344	1143857.660	
155	4.0	5.0	1347333761875298	2022-09-16	03:22:23.875298	GPS	234337.380	1143857.660	
156	4.0	6.0	1347333775330191	2022-09-16	03:22:37.330191	GPS	234337.488	1143857.660	
157	4.0	7.0	1347333789474857	2022-09-16	03:22:51.474857	GPS	234337.560	1143857.660	
158	4.0	8.0	1347333802204680	2022-09-16	03:23:04.204680	GPS	234337.668	1143857.660	
159	4.0	9.0	1347333817667592	2022-09-16	03:23:19.667592	GPS	234337.776	1143857.696	
160	4.0	10.0	1347333833888075	2022-09-16	03:23:35.888075	GPS	234337.884	1143857.732	
161	4.0	11.0	1347333845927546	2022-09-16	03:23:47.927546	GPS	234337.956	1143857.732	
162	4.0	12.0	1347333857694906	2022-09-16	03:23:59.694906	GPS	234338.100	1143857.768	
163	4.0	13.0	1347333871572318	2022-09-16	03:24:13.572318	GPS	234338.208	1143857.768	
164	4.0	14.0	1347333883596865	2022-09-16	03:24:25.596865	GPS	234338.316	1143857.804	
165	4.0	15.0	1347333900194417	2022-09-16	03:24:42.194417	GPS	234338.424	1143857.840	
166	4.0	16.0	1347333920691907	2022-09-16	03:25:02.691907	GPS	234338.604	1143857.840	
167	4.0	17.0	1347333932323023	2022-09-16	03:25:14.323023	GPS	234338.748	1143857.876	
168	4.0	18.0	1347333949256376	2022-09-16	03:25:31.256376	GPS	234338.856	1143857.912	
169	4.0	19.0	1347333967711325	2022-09-16	03:25:49.711325	GPS	234339.036	1143857.948	
170	4.0	20.0	1347333983315191	2022-09-16	03:26:05.315191	GPS	234339.144	1143857.948	
171	4.0	21.0	1347334000182321	2022-09-16	03:26:22.182321	GPS	234339.288	1143857.984	
172	4.0	22.0	1347334013739063	2022-09-16	03:26:35.739063	GPS	234339.396	1143858.020	
173	4.0	23.0	1347334027799214	2022-09-16	03:26:49.799214	GPS	234339.468	1143858.056	
174	4.0	24.0	1347334039808004	2022-09-16	03:27:01.808004	GPS	234339.612	1143858.056	
175	4.0	25.0	1347334056312275	2022-09-16	03:27:18.312275	GPS	234339.756	1143858.092	
